event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905060236357_00000052.sum,2022-09-05T06:02:34.904,29.710051,102.043288,20.327,5.768,19.086,0.103,11,243.3
20220905060319805_00000053.sum,2022-09-05T06:03:19.132,29.843064,102.002405,14.013,1.907,8.707,0.066,11,147.4
20220905060407182_00000054.sum,2022-09-05T06:04:06.772,29.436397,102.166021,18.385,1.511,8.465,0.291,17,103.7
20220905060505602_00000055.sum,2022-09-05T06:05:05.115,29.442862,102.139835,19.098,1.814,9.201,0.434,21,99.3
20220905060619822_00000056.sum,2022-09-05T06:06:19.457,29.503102,102.136486,14.435,1.538,6.979,0.298,22,139.3
20220905060703930_00000057.sum,2022-09-05T06:07:03.513,29.463773,102.175618,14.488,2.306,9.698,0.372,13,147.3
20220905060816034_00000058.sum,2022-09-05T06:08:14.592,29.706693,102.024733,19.818,5.670,17.835,0.061,10,244.5
20220905060906800_00000059.sum,2022-09-05T06:09:06.444,29.429900,102.171160,15.538,1.576,7.613,0.337,20,104.5
20220905061003098_00000060.sum,2022-09-05T06:10:03.285,29.436093,102.195959,13.518,1.867,7.759,0.381,16,109.0
20220905061206081_00000061.sum,2022-09-05T06:12:05.510,29.503923,101.887422,18.228,9.276,21.180,0.253,7,145.2
20220905061421952_00000062.sum,2022-09-05T06:14:21.500,29.798824,102.003657,12.263,1.991,5.870,0.239,17,100.2
20220905061455633_00000063.sum,2022-09-05T06:14:55.398,29.426660,102.185970,12.777,1.792,7.016,0.289,17,141.2
20220905061535162_00000064.sum,2022-09-05T06:15:34.816,29.862842,101.997099,16.414,6.602,13.383,0.034,7,260.6
20220905061548246_00000065.sum,2022-09-05T06:15:47.886,29.832457,102.006061,13.125,2.418,8.637,0.056,11,141.9
20220905061621895_00000066.sum,2022-09-05T06:16:21.476,29.441066,102.145467,13.711,1.620,6.374,0.215,17,100.2
20220905061709994_00000067.sum,2022-09-05T06:17:08.700,29.732537,102.027087,23.795,6.884,19.134,0.132,10,145.3
20220905061848019_00000068.sum,2022-09-05T06:18:46.912,29.762097,101.824353,21.396,3.396,22.084,0.309,10,159.3
20220905062007003_00000069.sum,2022-09-05T06:20:06.599,29.854584,101.939029,7.822,4.434,10.833,0.252,9,186.4
20220905062226418_00000070.sum,2022-09-05T06:22:26.026,29.467078,102.165179,12.575,1.587,9.135,0.322,19,106.1
