event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905061455800_00000052.sum,2022-09-05T06:14:55.402,29.425263,102.176631,11.872,1.630,6.208,0.825,19,139.6
20220905061534770_00000053.sum,2022-09-05T06:15:34.521,29.845587,102.001400,14.384,4.481,11.116,5.351,11,141.8
20220905061548250_00000054.sum,2022-09-05T06:15:47.888,29.829749,102.008565,12.544,1.544,7.286,2.733,18,84.4
20220905061621840_00000055.sum,2022-09-05T06:16:21.476,29.441066,102.145467,13.711,1.620,6.374,0.215,17,100.2
20220905062007580_00000056.sum,2022-09-05T06:20:06.599,29.854584,101.939029,7.822,4.434,10.833,0.252,9,186.4
20220905062226550_00000057.sum,2022-09-05T06:22:26.026,29.467172,102.165107,12.436,1.585,9.055,0.322,19,106.1
20220905062408230_00000058.sum,2022-09-05T06:24:07.435,29.791460,102.012270,11.956,1.614,5.582,0.306,24,86.2
20220905062453720_00000059.sum,2022-09-05T06:24:53.044,29.499927,102.152871,11.143,1.796,6.311,0.263,18,141.9
20220905062605740_00000060.sum,2022-09-05T06:26:05.310,29.395799,102.208831,13.291,1.543,6.196,0.339,23,108.8
20220905062849430_00000061.sum,2022-09-05T06:28:48.718,29.459282,102.181526,11.797,2.548,7.755,0.378,14,165.8
20220905063108620_00000062.sum,2022-09-05T06:31:08.031,29.441491,102.195376,11.927,1.805,6.207,0.341,21,144.9
20220905063128860_00000063.sum,2022-09-05T06:31:28.988,29.466958,102.116971,16.037,4.013,18.006,10.332,14,128.0
20220905063247830_00000064.sum,2022-09-05T06:32:47.300,29.466155,102.168833,14.363,1.573,7.998,0.309,21,106.6
20220905063457190_00000065.sum,2022-09-05T06:34:56.628,29.509839,102.124136,16.155,2.143,10.746,0.363,16,101.2
20220905063559230_00000066.sum,2022-09-05T06:35:58.549,29.798052,102.003168,12.112,1.903,4.790,0.223,13,102.8
20220905063711090_00000067.sum,2022-09-05T06:37:10.851,29.391102,102.170730,13.132,2.664,8.713,0.252,12,178.2
20220905063853980_00000068.sum,2022-09-05T06:38:53.355,29.801476,102.014600,12.808,3.117,7.129,0.236,12,191.9
20220905063941660_00000069.sum,2022-09-05T06:39:41.690,29.847322,102.004708,14.866,3.935,9.793,0.080,10,266.8
20220905064159270_00000070.sum,2022-09-05T06:41:58.606,29.435245,102.182309,16.560,1.739,7.778,0.285,16,140.7
20220905064234620_00000071.sum,2022-09-05T06:42:34.107,29.457353,102.173941,12.562,1.613,7.367,0.235,13,142.6
20220905064421080_00000072.sum,2022-09-05T06:44:20.444,29.808069,101.969974,12.697,1.915,5.693,0.228,16,81.9
20220905064501700_00000073.sum,2022-09-05T06:45:01.394,29.428281,102.175452,14.694,1.574,8.309,0.375,17,104.8
20220905065019150_00000074.sum,2022-09-05T06:50:18.892,29.437525,102.149314,14.243,1.883,9.146,0.269,15,138.7
20220905065259050_00000075.sum,2022-09-05T06:52:58.497,29.512144,102.131920,13.169,1.438,7.050,0.330,23,102.5
20220905065451590_00000076.sum,2022-09-05T06:54:50.951,29.426947,102.171626,17.212,2.037,8.842,0.420,17,103.8
20220905065636120_00000077.sum,2022-09-05T06:57:01.316,29.588417,102.021518,17.065,9.432,14.618,7.332,15,125.6
20220905065701260_00000078.sum,2022-09-05T06:57:01.214,29.573772,102.018441,15.250,4.912,13.288,0.194,13,245.0
20220905065830120_00000079.sum,2022-09-05T06:58:29.354,29.476906,102.170505,13.442,1.835,7.952,0.327,18,147.8
20220905070019000_00000080.sum,2022-09-05T07:00:19.205,29.707621,102.039599,19.021,7.986,19.801,0.093,8,288.2
20220905070108410_00000081.sum,2022-09-05T07:01:07.997,29.421971,102.175005,15.784,1.637,7.554,0.330,19,104.2
20220905070214210_00000082.sum,2022-09-05T07:02:13.665,29.458901,102.164941,15.131,1.606,8.120,0.348,24,105.1
20220905071155410_00000083.sum,2022-09-05T07:11:55.118,29.402089,102.176624,11.802,2.459,7.293,0.273,15,154.6
20220905071253410_00000084.sum,2022-09-05T07:12:52.923,29.440979,102.183813,17.036,1.667,7.879,0.389,25,107.9
20220905071412770_00000085.sum,2022-09-05T07:14:12.194,29.425037,102.200342,12.181,1.461,6.577,0.253,24,109.9
20220905071521600_00000086.sum,2022-09-05T07:15:20.968,29.433456,102.169148,14.246,1.611,7.584,0.277,19,104.2
20220905071645350_00000087.sum,2022-09-05T07:16:44.780,29.447798,102.162340,13.352,2.016,8.420,0.396,18,104.7
20220905071848650_00000088.sum,2022-09-05T07:18:48.581,29.857071,102.013644,15.605,3.341,9.226,0.095,11,221.1
20220905071950230_00000089.sum,2022-09-05T07:19:49.722,29.398209,102.190379,14.367,1.562,7.709,0.205,14,104.1
20220905072050810_00000090.sum,2022-09-05T07:20:50.522,29.853064,102.016504,14.663,3.747,10.330,0.070,8,222.1
20220905072138720_00000091.sum,2022-09-05T07:21:37.947,29.799016,102.013827,11.680,1.561,5.387,0.288,25,85.9
20220905072236400_00000092.sum,2022-09-05T07:22:36.092,29.574523,102.014878,14.785,4.498,13.435,0.134,15,244.7
20220905072336800_00000093.sum,2022-09-05T07:23:36.858,29.861199,102.008338,15.943,3.902,9.535,0.042,10,261.8
20220905072442970_00000094.sum,2022-09-05T07:24:42.498,29.476045,102.174469,13.426,1.551,7.744,0.367,21,108.2
20220905072525340_00000095.sum,2022-09-05T07:25:25.447,29.714238,102.058911,17.429,4.774,17.300,0.125,11,242.3
20220905072635030_00000096.sum,2022-09-05T07:26:34.649,29.455401,102.167752,16.331,1.621,8.289,0.372,25,105.8
20220905072833630_00000097.sum,2022-09-05T07:28:33.137,29.832298,102.014777,13.137,4.155,9.305,5.944,14,140.7
20220905072858770_00000098.sum,2022-09-05T07:28:58.188,29.799808,102.001323,12.398,1.988,6.980,0.213,16,99.9
20220905073035030_00000099.sum,2022-09-05T07:30:34.469,29.761585,101.821495,17.667,4.045,13.242,0.198,9,150.5
20220905073221770_00000100.sum,2022-09-05T07:32:21.128,29.422331,102.185608,14.429,1.978,8.889,0.314,14,139.8
20220905073429650_00000101.sum,2022-09-05T07:34:29.075,29.449739,102.171949,13.882,1.665,7.663,0.341,21,105.8
20220905073534920_00000102.sum,2022-09-05T07:35:34.229,29.758576,102.028714,12.380,2.088,6.147,0.254,18,112.8
20220905073739200_00000103.sum,2022-09-05T07:37:38.385,29.759796,102.035049,11.642,2.310,5.998,0.247,18,134.5
20220905074006690_00000104.sum,2022-09-05T07:40:05.939,29.435446,102.162137,17.027,1.688,8.415,0.393,22,103.1
20220905074457590_00000105.sum,2022-09-05T07:44:57.068,29.444099,102.164403,13.035,1.715,7.013,5.326,22,138.8
20220905074523430_00000106.sum,2022-09-05T07:45:22.537,29.624134,102.040799,10.533,2.615,5.761,0.275,14,159.8
20220905074701750_00000107.sum,2022-09-05T07:47:01.126,29.471587,102.165842,15.102,1.769,8.181,0.331,22,106.4
20220905074838160_00000108.sum,2022-09-05T07:48:37.729,29.447923,102.159422,13.586,1.758,6.400,0.351,22,102.9
20220905075008540_00000109.sum,2022-09-05T07:50:06.954,29.418739,102.113664,38.529,12.492,16.249,0.576,10,92.9
20220905075056360_00000110.sum,2022-09-05T07:50:55.824,29.476725,102.189900,12.745,2.077,8.398,0.306,16,111.6
20220905075221500_00000111.sum,2022-09-05T07:52:20.507,29.672866,102.129521,18.947,1.805,5.463,9.459,26,90.6
20220905075250030_00000112.sum,2022-09-05T07:52:49.422,29.479452,102.173928,13.636,1.535,5.382,1.777,27,108.3
20220905075330930_00000113.sum,2022-09-05T07:53:30.199,29.419627,102.185991,10.788,2.274,8.391,0.161,9,140.6
20220905075509300_00000114.sum,2022-09-05T07:55:08.669,29.461947,102.160078,14.158,1.689,5.977,0.321,22,136.0
20220905075621250_00000115.sum,2022-09-05T07:56:20.544,29.633157,102.089002,10.768,2.898,7.209,0.305,10,146.7
20220905075726420_00000116.sum,2022-09-05T07:57:25.934,29.506102,102.129276,13.358,1.543,5.882,0.358,24,101.7
20220905075752430_00000117.sum,2022-09-05T07:58:09.928,29.430194,102.163170,16.716,1.579,6.723,6.780,25,102.4
20220905075810400_00000118.sum,2022-09-05T07:58:09.929,29.439299,102.158892,13.697,1.432,5.193,0.995,25,102.5
20220905075842270_00000119.sum,2022-09-05T07:58:41.745,29.554720,102.112322,14.985,1.876,7.316,0.326,16,138.8
20220905080059560_00000120.sum,2022-09-05T08:00:58.933,29.567680,102.023128,13.575,1.928,7.176,0.263,12,124.3
20220905080142850_00000121.sum,2022-09-05T08:01:42.405,29.496642,102.206108,14.437,2.665,9.110,0.410,14,152.8
20220905080510900_00000122.sum,2022-09-05T08:05:10.625,29.791125,102.015179,11.311,1.749,5.656,0.257,14,96.0
20220905080714840_00000123.sum,2022-09-05T08:07:14.372,29.431134,102.167923,15.887,1.425,6.573,2.107,28,103.4
20220905080748040_00000124.sum,2022-09-05T08:07:47.298,29.621432,102.035118,11.713,1.204,4.909,0.257,27,83.8
20220905080939990_00000125.sum,2022-09-05T08:09:39.370,29.442129,102.173706,14.640,1.662,6.118,0.337,24,105.6
20220905081051570_00000126.sum,2022-09-05T08:10:51.038,29.442812,102.162706,13.711,1.646,6.118,0.316,24,103.8
20220905081237540_00000127.sum,2022-09-05T08:12:36.845,29.797596,102.014831,11.056,1.346,5.277,0.269,25,66.1
20220905081418230_00000128.sum,2022-09-05T08:14:18.164,29.816687,101.992212,16.864,3.424,10.030,0.195,9,108.6
20220905081556140_00000129.sum,2022-09-05T08:15:56.077,29.908986,101.986194,12.018,2.973,6.498,0.074,10,250.0
20220905081707500_00000130.sum,2022-09-05T08:17:06.790,29.465924,102.168701,14.468,1.723,7.224,0.302,23,106.6
20220905081904890_00000131.sum,2022-09-05T08:19:04.417,29.622688,102.036283,12.445,1.223,5.139,0.289,27,83.8
20220905082017820_00000132.sum,2022-09-05T08:20:16.847,29.428425,102.156323,10.007,2.250,10.917,0.248,13,127.3
20220905082241530_00000133.sum,2022-09-05T08:22:40.803,29.653930,102.086330,11.890,1.758,5.747,0.254,19,104.0
20220905082351390_00000134.sum,2022-09-05T08:23:50.990,29.482467,102.145039,13.664,1.565,5.629,0.372,23,103.0
20220905082439810_00000135.sum,2022-09-05T08:24:39.217,29.754204,102.032147,11.210,1.480,5.068,5.829,24,64.4
20220905082509760_00000136.sum,2022-09-05T08:25:09.060,29.616532,102.038218,11.510,1.355,5.253,1.290,27,85.8
20220905082632900_00000137.sum,2022-09-05T08:26:32.212,29.580859,102.114055,10.742,2.248,4.933,0.297,20,116.9
20220905082717790_00000138.sum,2022-09-05T08:27:17.330,29.441365,102.170625,14.823,1.550,6.628,0.354,24,105.2
20220905082858540_00000139.sum,2022-09-05T08:28:57.843,29.632359,102.029396,10.801,1.313,5.269,0.259,20,79.7
20220905082950680_00000140.sum,2022-09-05T08:29:50.097,29.681051,102.090527,7.683,2.522,7.304,0.193,15,138.2
20220905083038270_00000141.sum,2022-09-05T08:30:37.561,29.618246,102.046279,13.069,2.015,6.969,0.265,13,116.6
20220905083206880_00000142.sum,2022-09-05T08:32:06.209,29.640140,102.030996,10.651,1.230,4.581,0.270,25,78.8
20220905083341450_00000143.sum,2022-09-05T08:33:40.775,29.634178,102.010084,10.350,1.868,7.346,0.225,13,107.1
20220905083533910_00000144.sum,2022-09-05T08:35:33.363,29.823082,102.011629,11.618,1.141,4.210,1.025,24,66.3
20220905083546500_00000145.sum,2022-09-05T08:35:45.976,29.424827,102.176494,14.001,1.695,6.525,4.193,24,104.5
20220905083609370_00000146.sum,2022-09-05T08:36:08.645,29.463482,102.162772,14.630,1.705,8.795,2.681,18,105.3
20220905083711750_00000147.sum,2022-09-05T08:37:10.825,29.749426,102.051684,12.218,2.540,6.492,11.612,22,62.4
20220905083745500_00000148.sum,2022-09-05T08:37:44.857,29.633989,102.024994,11.679,1.316,4.846,0.273,24,78.6
20220905083824050_00000149.sum,2022-09-05T08:38:23.265,29.635405,102.044320,10.301,2.146,7.014,0.221,13,152.6
20220905084025480_00000150.sum,2022-09-05T08:40:25.022,29.466971,102.167601,15.029,1.736,7.255,0.242,13,137.7
20220905084211540_00000151.sum,2022-09-05T08:42:10.913,29.424267,102.187223,12.328,1.626,6.795,0.323,25,107.4
20220905084319120_00000152.sum,2022-09-05T08:43:42.690,29.746883,102.035443,14.360,3.617,11.278,10.999,19,72.5
20220905084342760_00000153.sum,2022-09-05T08:43:42.756,29.753176,102.031420,15.837,4.558,13.674,0.189,12,150.5
20220905084421480_00000154.sum,2022-09-05T08:44:21.165,29.444768,102.201945,15.555,1.898,8.249,0.366,17,112.1
20220905084653980_00000155.sum,2022-09-05T08:46:53.486,29.443133,102.169198,14.826,1.684,7.387,0.317,21,104.9
20220905085111660_00000156.sum,2022-09-05T08:51:11.210,29.396653,102.181610,13.701,1.490,5.686,0.316,24,135.7
20220905085319430_00000157.sum,2022-09-05T08:53:19.009,29.381751,102.179543,12.943,1.161,5.744,0.247,25,99.9
20220905085532820_00000158.sum,2022-09-05T08:55:32.058,29.782495,102.014163,11.982,2.189,6.331,0.270,15,130.8
20220905085619380_00000159.sum,2022-09-05T08:56:18.728,29.420516,102.197516,11.691,1.901,6.430,0.229,17,146.6
20220905085754800_00000160.sum,2022-09-05T08:57:54.366,29.631504,102.020656,13.067,1.743,8.680,0.334,15,97.5
20220905090118000_00000161.sum,2022-09-05T09:01:17.496,29.828769,101.983060,13.181,3.264,7.778,0.237,12,183.2
20220905090251710_00000162.sum,2022-09-05T09:02:51.360,29.429525,102.187213,14.330,2.869,8.811,0.166,9,141.1
20220905090505990_00000163.sum,2022-09-05T09:05:05.209,29.819059,102.005176,4.734,2.131,3.968,0.363,12,83.9
20220905090546120_00000164.sum,2022-09-05T09:05:46.165,29.790144,102.075140,9.606,3.755,12.282,0.383,14,121.6
20220905090701410_00000165.sum,2022-09-05T09:07:00.719,29.405923,102.189840,12.172,1.872,7.870,10.496,17,106.2
20220905090737190_00000166.sum,2022-09-05T09:07:37.256,29.875291,101.995609,16.609,8.292,13.490,1.578,17,144.8
20220905090753490_00000167.sum,2022-09-05T09:08:10.229,29.826328,102.000362,13.897,10.321,12.992,6.763,17,105.7
20220905090810070_00000168.sum,2022-09-05T09:08:09.572,29.798564,101.994597,12.402,2.079,6.423,2.301,16,107.4
20220905091119140_00000169.sum,2022-09-05T09:11:18.309,29.567840,101.972665,12.408,1.733,7.373,0.268,20,80.4
20220905091240100_00000170.sum,2022-09-05T09:12:39.925,29.638776,102.045953,12.615,1.702,6.359,0.312,16,81.1
