event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905001000000_00005400.sum,2022-09-05T00:10:00.190,33.221193,104.765141,37.261,11.390,39.825,0.482,34,317.8
20220905001001000_00000841.sum,,,,,,,,,
20220905001001000_00000961.sum,2022-09-05T00:10:02.194,22.313521,99.191658,37.390,14.655,34.954,0.395,36,335.0
20220905001001000_00001021.sum,2022-09-05T00:10:01.285,22.409882,104.100548,41.544,7.564,31.375,0.835,38,292.8
20220905001001000_00001141.sum,2022-09-05T00:10:01.213,22.878935,99.728027,14.067,6.891,12.132,0.439,38,300.9
20220905001001000_00001201.sum,2022-09-05T00:10:01.400,22.886964,104.118423,10.803,5.336,9.498,0.304,22,267.0
20220905001001000_00001321.sum,2022-09-05T00:10:01.060,23.238175,98.747533,43.641,6.462,19.227,0.382,40,322.8
20220905001001000_00001381.sum,2022-09-05T00:10:01.271,23.342252,103.616586,18.042,8.248,10.455,0.254,15,255.3
20220905001001000_00001501.sum,2022-09-05T00:10:02.048,23.699716,98.268904,47.960,7.231,26.444,0.424,39,320.9
20220905001001000_00001561.sum,2022-09-05T00:10:00.863,23.765364,103.136096,4.918,2.677,4.715,0.428,32,184.1
20220905001001000_00001681.sum,2022-09-05T00:10:01.791,24.177591,98.238607,15.945,9.527,23.512,0.340,32,305.0
20220905001001000_00001741.sum,2022-09-05T00:10:00.256,24.214143,102.650788,15.455,1.209,4.636,0.266,35,46.0
20220905001001000_00001861.sum,2022-09-05T00:10:00.880,24.627816,98.737641,8.916,7.975,14.891,1.597,10,274.0
20220905001001000_00001921.sum,2022-09-05T00:10:00.351,24.665621,103.144240,6.170,1.309,4.664,0.340,31,41.2
20220905001001000_00001981.sum,2022-09-05T00:10:02.778,24.737722,103.384407,50.923,23.949,30.158,1.017,29,318.3
20220905001001000_00002041.sum,,,,,,,,,
20220905001001000_00002101.sum,2022-09-05T00:10:00.165,25.120487,102.147429,17.174,1.755,7.376,0.248,30,72.9
20220905001001000_00002161.sum,2022-09-05T00:10:01.900,25.073390,107.244189,37.232,11.467,39.256,0.410,45,313.1
20220905001001000_00002221.sum,,,,,,,,,
20220905001001000_00002281.sum,2022-09-05T00:10:00.525,25.559014,102.164171,24.893,1.722,4.413,0.402,28,56.6
20220905001001000_00002341.sum,2022-09-05T00:10:01.045,25.545442,106.112477,10.297,3.272,6.421,0.364,33,238.0
20220905001001000_00002461.sum,2022-09-05T00:10:00.317,26.015918,101.646542,18.351,1.242,3.589,0.351,50,46.3
20220905001001000_00002521.sum,2022-09-05T00:10:01.342,25.995309,106.084304,16.932,3.914,6.492,0.603,32,250.0
20220905001001000_00002641.sum,2022-09-05T00:10:00.436,26.454845,101.154456,23.629,1.222,4.532,0.287,36,43.9
20220905001001000_00002701.sum,2022-09-05T00:10:00.539,26.459334,105.619223,18.357,3.903,12.700,0.535,24,236.6
20220905001001000_00002821.sum,2022-09-05T00:10:00.920,26.890886,100.642604,9.141,1.479,14.355,0.213,23,57.2
20220905001001000_00002881.sum,2022-09-05T00:10:00.163,26.893101,105.198394,16.900,2.629,6.137,0.388,22,174.2
20220905001001000_00003001.sum,2022-09-05T00:10:00.343,27.341142,100.123486,12.984,1.668,7.161,0.624,21,108.8
20220905001001000_00003061.sum,2022-09-05T00:10:00.372,27.337439,105.182947,13.758,1.489,4.231,0.355,34,79.1
20220905001001000_00003181.sum,2022-09-05T00:10:00.321,27.807126,100.617430,2.886,1.182,3.289,0.356,28,53.9
20220905001001000_00003241.sum,2022-09-05T00:10:00.765,27.797433,105.671570,15.144,4.743,6.485,0.820,24,219.2
20220905001001000_00003361.sum,2022-09-05T00:10:00.519,28.258506,101.130830,3.636,1.478,3.720,0.388,37,50.9
20220905001001000_00003421.sum,2022-09-05T00:10:00.508,28.256779,105.710005,7.499,3.092,4.165,0.409,32,223.8
20220905001001000_00003541.sum,2022-09-05T00:10:00.433,28.715815,100.609425,14.110,1.769,5.606,0.411,24,47.3
20220905001001000_00003601.sum,2022-09-05T00:10:01.116,28.694627,106.231118,6.433,3.946,6.737,0.393,40,247.3
20220905001001000_00003721.sum,2022-09-05T00:10:00.663,29.168127,101.635379,15.619,1.254,7.108,0.385,41,47.6
20220905001001000_00003781.sum,2022-09-05T00:10:02.053,29.140811,106.723638,28.935,6.824,19.873,0.240,36,273.4
20220905001001000_00003901.sum,2022-09-05T00:10:00.670,29.617708,101.113407,20.432,2.203,9.759,0.406,19,74.3
20220905001001000_00003961.sum,2022-09-05T00:10:01.494,29.601751,106.233041,5.221,5.121,6.483,0.305,28,233.5
20220905001001000_00004081.sum,2022-09-05T00:10:00.696,30.066711,101.619471,25.411,1.928,7.477,0.415,27,41.7
20220905001001000_00004141.sum,2022-09-05T00:10:01.333,30.064244,106.267797,8.905,7.201,13.945,0.174,19,253.5
20220905001001000_00004261.sum,2022-09-05T00:10:00.149,30.517720,101.620252,18.072,1.356,4.733,0.423,28,70.3
20220905001001000_00004321.sum,2022-09-05T00:10:01.321,30.499303,106.800773,5.220,6.978,10.936,0.301,29,278.0
20220905001001000_00004381.sum,,,,,,,,,
20220905001001000_00004441.sum,2022-09-05T00:10:00.593,30.951908,102.136538,21.301,2.078,8.443,0.262,16,76.6
20220905001001000_00004501.sum,2022-09-05T00:10:01.506,30.963787,107.382925,40.798,13.227,37.302,0.205,13,326.3
20220905001001000_00004621.sum,2022-09-05T00:10:00.585,31.437389,101.612567,14.807,4.158,11.626,0.139,15,155.6
20220905001001000_00004681.sum,2022-09-05T00:10:01.370,31.429120,106.322501,6.417,8.964,13.027,0.235,25,302.1
20220905001001000_00004801.sum,2022-09-05T00:10:01.071,31.847210,101.071433,12.300,7.765,12.284,0.506,17,255.5
20220905001001000_00004861.sum,2022-09-05T00:10:01.403,31.836247,105.815891,5.483,8.290,11.370,0.206,14,296.3
20220905001001000_00004981.sum,2022-09-05T00:10:01.325,32.266680,101.058309,18.685,6.669,17.114,0.479,21,250.2
20220905001001000_00005041.sum,2022-09-05T00:10:01.455,32.252280,105.854101,17.405,4.654,9.991,0.309,41,310.6
20220905001001000_00005161.sum,2022-09-05T00:10:02.063,32.722740,101.058720,25.508,14.183,28.735,0.267,13,284.1
20220905001001000_00005221.sum,2022-09-05T00:10:01.542,32.657929,105.365165,21.851,11.733,14.624,0.215,28,308.2
20220905001001000_00005341.sum,2022-09-05T00:10:04.367,33.023473,100.454419,49.715,16.826,31.578,0.225,27,314.1
20220905001001000_00005401.sum,2022-09-05T00:10:01.467,33.239245,105.399752,36.331,15.761,41.521,0.595,23,332.4
20220905001002000_00000842.sum,,,,,,,,,
20220905001002000_00000962.sum,2022-09-05T00:10:02.711,22.417192,99.192584,27.320,13.746,35.691,0.388,29,333.3
20220905001002000_00001022.sum,2022-09-05T00:10:01.915,22.357239,104.090780,31.527,10.102,35.084,0.407,36,287.6
20220905001002000_00001142.sum,2022-09-05T00:10:02.132,22.875577,99.702413,17.155,6.632,11.256,0.205,23,304.4
