97,21,0,4.575,2.698
97,21,2.5,4.857,2.864
97,21,5,5.437,3.208
97,21,7.5,5.859,3.446
97,21,10,6.172,3.61
97,21,15,6.042,3.544
97,21,20,6.369,3.715
97,21,25,5.962,3.504
97,21,30,6.333,3.694
97,21,35,7.974,4.543
97,21,40,8.333,4.737
97,21,50,8.482,4.883
97,21,60,8.382,4.755
97,21,70,7.944,4.515
97.2,21,0,4.589,2.706
97.2,21,2.5,4.856,2.863
97.2,21,5,5.43,3.204
97.2,21,7.5,5.851,3.442
97.2,21,10,6.16,3.605
97.2,21,15,6.045,3.545
97.2,21,20,6.355,3.707
97.2,21,25,5.972,3.509
97.2,21,30,6.338,3.698
97.2,21,35,7.948,4.531
97.2,21,40,8.322,4.732
97.2,21,50,8.48,4.882
97.2,21,60,8.369,4.748
97.2,21,70,7.937,4.51
97.4,21,0,4.618,2.723
97.4,21,2.5,4.792,2.824
97.4,21,5,5.36,3.162
97.4,21,7.5,5.811,3.421
97.4,21,10,6.114,3.58
97.4,21,15,6.064,3.555
97.4,21,20,6.317,3.688
97.4,21,25,6.016,3.532
97.4,21,30,6.307,3.681
97.4,21,35,7.819,4.463
97.4,21,40,8.314,4.726
97.4,21,50,8.473,4.876
97.4,21,60,8.36,4.749
97.4,21,70,7.942,4.515
97.6,21,0,4.619,2.724
97.6,21,2.5,4.857,2.864
97.6,21,5,5.418,3.197
97.6,21,7.5,5.838,3.436
97.6,21,10,6.135,3.592
97.6,21,15,6.049,3.547
97.6,21,20,6.328,3.694
97.6,21,25,5.994,3.521
97.6,21,30,6.349,3.703
97.6,21,35,7.895,4.502
97.6,21,40,8.299,4.718
97.6,21,50,8.476,4.879
97.6,21,60,8.339,4.735
97.6,21,70,7.92,4.503
97.8,21,0,4.627,2.73
97.8,21,2.5,4.905,2.893
97.8,21,5,5.458,3.221
97.8,21,7.5,5.854,3.445
97.8,21,10,6.143,3.597
97.8,21,15,6.039,3.542
97.8,21,20,6.33,3.694
97.8,21,25,5.983,3.514
97.8,21,30,6.383,3.721
97.8,21,35,7.937,4.525
97.8,21,40,8.284,4.71
97.8,21,50,8.478,4.881
97.8,21,60,8.316,4.722
97.8,21,70,7.899,4.494
98,21,0,4.637,2.735
98,21,2.5,4.952,2.921
98,21,5,5.496,3.244
98,21,7.5,5.869,3.452
98,21,10,6.151,3.601
98,21,15,6.03,3.538
98,21,20,6.329,3.695
98,21,25,5.975,3.511
98,21,30,6.415,3.737
98,21,35,7.975,4.544
98,21,40,8.269,4.702
98,21,50,8.48,4.883
98,21,60,8.293,4.708
98,21,70,7.879,4.483
98.2,21,0,4.677,2.761
98.2,21,2.5,4.888,2.885
98.2,21,5,5.422,3.201
98.2,21,7.5,5.824,3.428
98.2,21,10,6.098,3.573
98.2,21,15,6.048,3.548
98.2,21,20,6.285,3.67
98.2,21,25,6.021,3.535
98.2,21,30,6.384,3.72
98.2,21,35,7.83,4.47
98.2,21,40,8.252,4.693
98.2,21,50,8.469,4.875
98.2,21,60,8.278,4.703
98.2,21,70,7.879,4.482
98.4,21,0,4.671,2.758
98.4,21,2.5,5.036,2.973
98.4,21,5,5.559,3.282
98.4,21,7.5,5.888,3.463
98.4,21,10,6.153,3.602
98.4,21,15,6.018,3.532
98.4,21,20,6.317,3.688
98.4,21,25,5.974,3.51
98.4,21,30,6.48,3.77
98.4,21,35,8.021,4.568
98.4,21,40,8.234,4.683
98.4,21,50,8.484,4.873
98.4,21,60,8.237,4.677
98.4,21,70,7.837,4.462
98.6,21,0,4.689,2.769
98.6,21,2.5,5.086,3.003
98.6,21,5,5.597,3.304
98.6,21,7.5,5.899,3.469
98.6,21,10,6.154,3.602
98.6,21,15,6.011,3.528
98.6,21,20,6.312,3.684
98.6,21,25,5.973,3.509
98.6,21,30,6.517,3.789
98.6,21,35,8.053,4.583
98.6,21,40,8.217,4.674
98.6,21,50,8.472,4.856
98.6,21,60,8.206,4.657
98.6,21,70,7.813,4.449
98.8,21,0,4.751,2.807
98.8,21,2.5,4.937,2.916
98.8,21,5,5.434,3.207
98.8,21,7.5,5.811,3.421
98.8,21,10,6.056,3.551
98.8,21,15,6.044,3.546
98.8,21,20,6.237,3.646
98.8,21,25,6.05,3.55
98.8,21,30,6.426,3.741
98.8,21,35,7.763,4.433
98.8,21,40,8.194,4.662
98.8,21,50,8.419,4.823
98.8,21,60,8.202,4.662
98.8,21,70,7.829,4.456
99,21,0,4.76,2.812
99,21,2.5,5.053,2.983
99,21,5,5.537,3.267
99,21,7.5,5.854,3.444
99,21,10,6.088,3.567
99,21,15,6.025,3.535
99,21,20,6.252,3.654
99,21,25,6.027,3.537
99,21,30,6.506,3.783
99,21,35,7.896,4.502
99,21,40,8.177,4.653
99,21,50,8.4,4.811
99,21,60,8.16,4.635
99,21,70,7.791,4.435
99.2,21,0,4.805,2.84
99.2,21,2.5,5.004,2.955
99.2,21,5,5.473,3.23
99.2,21,7.5,5.815,3.424
99.2,21,10,6.038,3.54
99.2,21,15,6.036,3.539
99.2,21,20,6.214,3.634
99.2,21,25,6.061,3.554
99.2,21,30,6.473,3.765
99.2,21,35,7.76,4.431
99.2,21,40,8.154,4.64
